topic,subTopic,slug,beeswarmRowUseMinMax,howToMeasureChange,dataset,code,include
population,population,population-count,FALSE,,population-indicators,Population count,TRUE
population,population,population-count-female,FALSE,,population-indicators,Population count - Female,FALSE
population,population,population-count-male,FALSE,,population-indicators,Population count - Male,FALSE
population,population,population-by-age-and-sex,FALSE,,population-by-age-and-sex,5-year age band,TRUE
population,population,population-density,FALSE,,population-indicators,Population density,TRUE
population,population,population-density-female,FALSE,,population-indicators,Population density - Female,FALSE
population,population,population-density-male,FALSE,,population-indicators,Population density - Male,FALSE
population,population,five-year-population-change,FALSE,,population-indicators,5-year population change,TRUE
population,population,median-age,FALSE,,population-indicators,Median age,TRUE
population,population,median-age-female,FALSE,,population-indicators,Median age - Female,FALSE
population,population,median-age-male,FALSE,,population-indicators,Median age - Male,FALSE
population,population,percentage-population-aged-0-to-15,FALSE,,population-indicators,Percentage of the population aged 0 to 15,TRUE
population,population,percentage-population-aged-0-to-15-female,FALSE,,population-indicators,Percentage of the population aged 0 to 15 - Female,FALSE
population,population,percentage-population-aged-0-to-15-male,FALSE,,population-indicators,Percentage of the population aged 0 to 15 - Male,FALSE
population,population,percentage-population-aged-16-to-64,FALSE,,population-indicators,Percentage of the population aged 16 to 64,TRUE
population,population,percentage-population-aged-16-to-64-female,FALSE,,population-indicators,Percentage of the population aged 16 to 64 - Female,FALSE
population,population,percentage-population-aged-16-to-64-male,FALSE,,population-indicators,Percentage of the population aged 16 to 64 - Male,FALSE
population,population,percentage-population-aged-65,FALSE,,population-indicators,Percentage of the population aged 65+,TRUE
population,population,percentage-population-aged-65-female,FALSE,,population-indicators,Percentage of the population aged 65+ - Female,FALSE
population,population,percentage-population-aged-65-male,FALSE,,population-indicators,Percentage of the population aged 65+ - Male,FALSE
economy,employment,economic-inactivity-rate,FALSE,,employment-rate,Economically inactive,TRUE
economy,employment,economic-inactivity-rate-ni,FALSE,pp,employment-rate-ni,Economically inactive (Northern Ireland),TRUE
economy,employment,employment-rate,FALSE,pp,employment-rate,Employment rate,TRUE
economy,employment,employment-rate-ni,FALSE,pp,employment-rate-ni,Employment rate (Northern Ireland),TRUE
economy,employment,modelled-unemployment,FALSE,,modelled-unemployment,Modelled unemployment rate,TRUE
economy,employment,claimant-count,FALSE,,claimant-count,Claimant Count,TRUE
economy,pay and income,gross-disposable-household-income-per-head,FALSE,abs,gross-disposable-household-income-per-head,Gross disposable household income,TRUE
economy,pay and income,gross-median-weekly-pay,FALSE,abs,gross-median-weekly-pay,Gross median weekly pay,TRUE
economy,pay and income,children-in-relative-poverty,FALSE,,children-in-relative-poverty,Children in poverty,TRUE
economy,trade,value-uk-exports,FALSE,,total-value-of-uk-exports,Value of UK exports,TRUE
economy,productivity,gross-value-added-per-hour-worked,FALSE,abs,gross-value-added-per-hour-worked,Gross value added per hour worked,TRUE
economy,productivity,gross-domestic-product-per-head-current-market-price,FALSE,,gdp-per-head,Gross domestic product per head at current market price,TRUE
economy,productivity,gross-domestic-product-per-head-chained-volume-measure,FALSE,,gdp-per-head,Gross domestic product per head in chained volume measure,TRUE
economy,spending and investment,inward-foreign-direct-investment,FALSE,,foreign-direct-investment,Inward foreign direct investment,TRUE
economy,spending and investment,outward-foreign-direct-investment,FALSE,,foreign-direct-investment,Outward foreign direct investment,TRUE
economy,spending and investment,expenditure-research-and-development-public,FALSE,abs,research-and-development-public-funded,Public-funded expenditure on research and development,TRUE
economy,spending and investment,expenditure-research-and-development-business,FALSE,abs,research-and-development-business,Business expenditure on research and development,TRUE
economy,business,active-businesses,FALSE,,active-enterprises,Active businesses,TRUE
economy,business,business-births,FALSE,,business-demography,Business births,TRUE
economy,business,business-deaths,FALSE,,business-demography,Business deaths,TRUE
economy,business,high-growth-businesses,FALSE,,business-demography,High growth businesses,TRUE
housing,housing,net-additions-housing-stock,FALSE,abs,net-additions-to-the-housing-stock,Net additions to the housing stock (England),TRUE
housing,housing,net-additions-housing-stock-wales,FALSE,abs,net-additions-to-the-housing-stock-wales,Net additions to the housing stock (Wales),TRUE
housing,housing,net-additions-housing-stock-northern-ireland,FALSE,abs,net-additions-to-the-housing-stock-northern-ireland,Net additions to the housing stock (Northern Ireland),TRUE
housing,housing,first-time-buyer-mortgage-sales,FALSE,,first-time-buyer-mortgage-sales,First-time buyer mortgage sales,TRUE
housing,housing,average-length-of-short-term-let-stay,FALSE,,short-term-let-average-length-of-stay,Average length of short-term let stay,TRUE
housing,housing,number-of-guest-nights-at-a-short-term-let,FALSE,,short-term-let-number-of-guests-nights,Number of guest nights at a short-term let,TRUE
education and skills,attainment and participation,further-education-skills-learner-achievements,FALSE,,further-education-and-skills-learner-achievements,Further education and skills learner achievements,TRUE
education and skills,attainment and participation,further-education-skills-participation,FALSE,,further-education-and-skills-participation,Further education and skills participation,TRUE
education and skills,attainment and participation,gcses-equivalent-english-maths,FALSE,,gcses-in-english-and-maths,GCSEs in English and Maths,TRUE
education and skills,attainment and participation,level-3-or-above-qualifications,FALSE,,qualifications-level-3-or-above,Level 3 or above qualifications (Great Britain),TRUE
education and skills,attainment and participation,level-3-or-above-qualifications-ni,FALSE,,qualifications-level-3-or-above-ni,Level 3 or above qualifications (Northern Ireland),TRUE
education and skills,attainment and participation,pupils-at-expected-standards-end-primary-school,FALSE,pp,pupils-at-expected-standards-by-end-of-primary-school,"Pupils meeting the expected standard in reading, writing and maths",TRUE
education and skills,attainment and participation,no-qualifications-great-britain,FALSE,,qualifications-none-gb,No qualifications,TRUE
education and skills,early-years learning,early-years-communication-language,FALSE,,early-years,Communication and language,TRUE
education and skills,early-years learning,early-years-literacy,FALSE,,early-years,Literacy,TRUE
education and skills,early-years learning,early-years-mathematics,FALSE,,early-years,Mathematics,TRUE
education and skills,school attendance,persistent-absences-all-pupils,FALSE,pp,persistent-absences-for-all-pupils,Persistent absences for all pupils,TRUE
education and skills,school attendance,persistent-absences-pupils-free-school-meals,FALSE,pp,persistent-absences-for-pupils-eligible-for-free-school-meals,Persistent absences for pupils eligible for free school meals,TRUE
education and skills,school attendance,persistent-absences-pupils-looked-after-by-local-authorities,FALSE,pp,persistent-absences-for-pupils-looked-after-by-local-authorities,Persistent absences for pupils looked after by local authorities,TRUE
education and skills,apprenticeships,apprenticeship-achievements,FALSE,,apprenticeships,Apprenticeship achievements (England),TRUE
education and skills,apprenticeships,apprenticeship-starts,FALSE,,apprenticeships,Apprenticeship starts (England),TRUE
education and skills,apprenticeships,apprenticeship-starts-ni,FALSE,,apprenticeships-ni,Apprenticeship starts (Northern Ireland),TRUE
education and skills,apprenticeships,apprenticeship-starts-scotland,FALSE,,apprenticeships-scotland,Apprenticeship starts (Scotland),TRUE
education and skills,apprenticeships,apprenticeship-achievements-scotland,FALSE,,apprenticeships-scotland,Apprenticeship achievements (Scotland),TRUE
health and wellbeing,healthy living,cigarette-smokers,FALSE,pp,cigarette-smokers,Cigarette smokers,TRUE
health and wellbeing,healthy living,healthy-weight-children-reception,FALSE,,child-weight,Aged four to five years healthy weight,TRUE
health and wellbeing,healthy living,healthy-weight-children-year-6,FALSE,,child-weight,Aged 10 to 11 years healthy weight,TRUE
health and wellbeing,healthy living,obese-children-reception,FALSE,,child-weight,Aged four to five years obese,TRUE
health and wellbeing,healthy living,obese-children-year-6,FALSE,,child-weight,Aged 10 to 11 years obese,TRUE
health and wellbeing,healthy living,overweight-children-reception,FALSE,,child-weight,Aged four to five years overweight,TRUE
health and wellbeing,healthy living,overweight-children-year-6,FALSE,,child-weight,Aged 10 to 11 years overweight,TRUE
health and wellbeing,healthy living,underweight-children-reception,FALSE,,child-weight,Aged four to five years underweight,TRUE
health and wellbeing,healthy living,underweight-children-year-6,FALSE,,child-weight,Aged 10 to 11 years underweight,TRUE
health and wellbeing,healthy living,adult-obesity-prevalence,FALSE,,adult-obesity-prevalence,Adult obesity prevalence,TRUE
health and wellbeing,disease and preventable mortality,cancer-diagnosis-stage-1-and-2,FALSE,pp,cancer-diagnosis-at-stage-1-and-2,Cancer diagnosis at stage 1 and 2,TRUE
health and wellbeing,disease and preventable mortality,cardiovascular-mortality-persons-aged-under-75,FALSE,,preventable-cardiovascular-mortality-england,Preventable cardiovascular mortality (England),TRUE
